Sample_Identifier,Parent Sample ID,IGSN-ParentSample,ITS_SPID,GOLD_Study_ID,GOLD_Biosample_ID,GOLD_SEQUENCING_PROJECT_ID,EMSL DMS sample number,EMSL data type,SAMPLE_COLLECTION_SITE,ECOSYSTEM,ECOSYSTEM_CATEGORY,ECOSYSTEM_TYPE,ECOSYSTEM_SUBTYPE,SPECIFIC_ECOSYSTEM,HABITAT,GEOGRAPHIC_LOCATION,LATITUDE,LONGITUDE,DEPTH,SAMPLE_COLLECTION_DATE,ELEVATION,PROJECT_NAME,SEQUENCING_STRATEGY_FULL,PH,SALINITY_CONCENTRATION,SAMPLE_VOLUME,SOIL_CURR_LAND_USE,SOIL_CURR_VEGETATION,SOIL_CURR_VEGETATION_METHOD,SOIL_PREV_LAND_USE,SOIL_PREV_LAND_USE_METH,SOIL_CROP_ROTATION,SOIL_AGROCHEM_ADDITION,SOIL_TILLAGE,SOIL_FIRE,SOIL_FLOODING,SOIL_EXTREME_EVENT,SOIL_HORIZON,SOIL_HORIZON_METHOD,SOIL_SIEVING,SOIL_WATER_CONTENT,SOIL_WATER_CONTENT_SOIL_METH,SAMPLE_WEIGHT_DNA_EXT,SOIL_POOL_DNA_EXTRACTS,SOIL_STORAGE_CONDITION,SOIL_LINK_CLIMATE_INFO,SOIL_MEAN_ANNUAL_TEMP,SOIL_MEAN_SEASONAL_TEMP,SOIL_MEAN_ANNUAL_PRECPT,SOIL_MEAN_SEASONAL_PRECPT,SOIL_LINK_CLASS_INFO,SOIL_FAO_CLASS,SOIL_LOCAL_CLASS,SOIL_LOCAL_CLASS_METHOD,SOIL_TYPE,SOIL_TYPE_METHOD,SOIL_SLOPE_GRADIENT,SOIL_SLOPE_ASPECT,SOIL_PROFILE_POSITION,SOIL_DRAINAGE_CLASS,SOIL_TEXTURE,SOIL_TEXTURE_METHOD,SOIL_PH_METHOD,TOT_ORG_CARBON,SOIL_TOT_ORG_C_METHOD,TOT_NITROGEN,SOIL_TOT_N_METHOD,SOIL_MICROBIAL_BIOMASS,SOIL_MICROBIAL_BIOMASS_METHOD,SOIL_LINK_ADDIT_ANALYS,SOIL_SALINITY_METHOD,SOIL_HEAVY_METALS,SOIL_HEAVY_METALS_METHOD,SOIL_ALUMINIUM_SAT,SOIL_ALUMINIUM_SAT_METHOD,ISOLATION_PUBLICATION_ID,SOIL_MISC_PARAM,NCBI_BIOPROJECT_ACCESSION,NCBI_BIOSAMPLE_ACCESSION,ITS_PROPOSAL_ID,ITS_PROJECT_NAME,ITS_SAMPLE_ID,ENV_PACKAGE,STUDY_NAME,STUDY_PI,STUDY_PI_EMAIL,SAMPLE_ISOLATION_COMMENTS,LAT_LONG_INFERRED,PRESSURE,NITRATE_CONCENTRATION,ITS_GROWTH_CONDITIONS,ELEVATION2,DEPTH2,BIOSAMPLE_NAME,ADD_DATE,MOD_DATE,DESCRIPTION,SAMPLING_STRATEGY,SAMPLE_BIOMASS,SAMPLE_CONTACT_NAME,SAMPLE_CONTACT_EMAIL,IS_PUBLIC,NCBI_TAXONOMY_ID,COMMUNITY,LOCATION,GROWTH_CONDITIONS,CHLOROPHYLL_CONCENTRATION,OXYGEN_CONCENTRATION,ECOSYSTEM_PATH_ID,NCBI_TAXONOMY_NAME,TEMPERATURE_RANGE,SUBSURFACE_DEPTH,SUBSURFACE_DEPTH2,SOLUBLE_IRON_MICROMOL,H2S_MILLIMOL,H2S_PRESENT,OXYGEN_PRESENCE,METHANE_CONC_MILLIMOL,ISOLATION_PUBLICATION_ID,BICARBONATE_MILLIMOL,PROPORT_WOA_SILICATE,PROPORT_WOA_PHOSPHATE,Soil_SIZE_FRAC_LOW,Soil_SIZE_FRAC_UP,samp_mat_process,samp_size
ER_RNA_202,202,IEWFS0016,1203922,Gs0135149,Gb0192126,Gp0324054,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,6-8-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_202",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622073,SAMN14515322,503568,ER_RNA_202,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_202",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
202,202,IEWFS0016,,,,,747963; 749042; 749029; 743590; 723630; 724087; 724437; 769746; 769696; 738803; 738804; 738805; 738800; 738802; 739482,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_203,203,IEWFS0017,1196611,Gs0135149,Gb0191680,Gp0321300,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,6-8-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_203",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518235,SAMN10864173,503568,ER_DNA_203,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_203",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_203,203,IEWFS0017,1203923,Gs0135149,Gb0192127,Gp0324055,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,6-8-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_203",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622074,SAMN14515499,503568,ER_RNA_203,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_203",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
203,203,IEWFS0017,,,,,747959; 749043; 748007; 749030; 743591; 724088; 724438; 769755; 769705; 738809; 738810; 738811; 738806; 738808,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_204,204,IEWFS0018,1196612,Gs0135149,Gb0191681,Gp0321301,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,6-8-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_204",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518236,SAMN10864172,503568,ER_DNA_204,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_204",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_204,204,IEWFS0018,1203924,Gs0135149,Gb0192128,Gp0324056,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,6-8-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_204",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622075,SAMN14515113,503568,ER_RNA_204,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_204",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
204,204,IEWFS0018,,,,,747955; 749040; 749027; 743592; 723632; 723633; 724089; 769745; 769671; 738814; 738815; 738816,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_355,355,IEWFS0019,1196613,Gs0135149,Gb0191682,Gp0321302,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,9-15-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_355",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518237,SAMN10864256,503568,ER_DNA_355,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_355",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_355,355,IEWFS0019,1203925,Gs0135149,Gb0192129,Gp0324057,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,9-15-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_355",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622076,SAMN14515496,503568,ER_RNA_355,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_355",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
355,355,IEWFS0019,,,,,713153; 747967; 748015; 743593; 723634; 723635; 724090; 769761; 769645; 713140; 738820; 738821; 739483; 713143; 738817; 738818; 738819; 715124; 713148; 715125; 713579; 713588; 713597,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_356,356,IEWFS001A,1196614,Gs0135149,Gb0191683,Gp0321303,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,9-15-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_356",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518238,SAMN10864123,503568,ER_DNA_356,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_356",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_356,356,IEWFS001A,1203926,Gs0135149,Gb0192130,Gp0324058,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,9-15-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_356",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622077,SAMN14515395,503568,ER_RNA_356,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_356",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
356,356,IEWFS001A,,,,,713154; 747973; 748021; 743594; 723636; 723637; 724091; 769752; 769682; 713141; 738826; 738827; 739484; 713144; 715126; 738822; 738824; 738825; 715127; 713149; 715128; 713580; 713589; 713598,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_357,357,IEWFS001B,1196615,Gs0135149,Gb0191684,Gp0321304,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,9-15-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_357",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518239,SAMN10864171,503568,ER_DNA_357,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_357",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_357,357,IEWFS001B,1203927,Gs0135149,Gb0192131,Gp0324059,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,9-15-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_357",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622079,SAMN14515108,503568,ER_RNA_357,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_357",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
357,357,IEWFS001B,,,,,713155; 747965; 748013; 731080; 743595; 723638; 723639; 724092; 730173; 730174; 730175; 730176; 730178; 730179; 769758; 769654; 713142; 738831; 738832; 738833; 713145; 717355; 717362; 715129; 738829; 717356; 717363; 715130; 713150; 717357; 717364; 715131; 713581; 713590; 713599; ,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; ,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_367,367,IEWFS001C,1196616,Gs0135149,Gb0191685,Gp0321305,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,9-15-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_367",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518240,SAMN10864201,503568,ER_DNA_367,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_367",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
